,Module,Hours,Weight (%),Marks,Complexity,Exam Frequency,Toughness,Cost
0,Course Overview,1.5,1.60%,2,Easy,1,2,0.9999999999999999
1,Basic Concepts,3.5,3.90%,4,Easy,2,2,2.3333333333333335
2,Binary Systems,3.0,3.30%,3,Easy,1,2,1.9999999999999998
3,Boolean Algebra and Logic Gates,5.0,5.50%,6,Medium,2,6,4.444444444444445
4,Combinational Circuits,4.0,4.40%,4,Medium,1,6,3.555555555555556
5,Sequential Circuits,4.0,4.40%,4,Medium,1,6,3.555555555555556
6,Data Types and Data Structures,7.0,7.70%,8,Medium,2,6,6.222222222222222
7,Error Detection and Correction,5.0,5.50%,5,Medium,2,6,4.444444444444445
8,CPU Architecture,5.0,5.50%,6,Medium,2,6,4.444444444444445
9,Processor Design,7.0,7.70%,8,Difficult,3,10,7.777777777777778
10,Control Unit Design,7.0,7.70%,8,Difficult,1,10,7.777777777777778
11,Memory Hierarchy,6.0,6.60%,7,Difficult,3,10,6.666666666666666
12,Types of Memory,9.0,9.90%,10,Difficult,2,10,10.0
13,I/O Fundamentals,5.0,5.50%,6,Medium,2,6,4.444444444444445
14,Peripheral Devices,5.0,5.50%,5,Medium,1,6,4.444444444444445
15,Parallel Processing,5.0,5.50%,6,Difficult,2,10,5.555555555555555
16,Performance Enhancement,5.0,5.50%,5,Difficult,2,10,5.555555555555555
17,Assembly Language Programming,5.0,5.50%,6,Medium,2,6,4.444444444444445
18,Simulators and Tools,3.0,3.30%,3,Medium,1,6,2.666666666666667
19,Historical Architectures,1.0,1.10%,1,Easy,1,2,0.6666666666666666
20,Modern Architectures,1.0,1.10%,1,Easy,0,2,0.6666666666666666
